time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-27 00:00:00+00:00,10,7,60.0,9.0
2023-06-28 00:00:00+00:00,8,6,38.0,4.0
2023-06-29 00:00:00+00:00,8,7,59.0,7.0
2023-06-30 00:00:00+00:00,16,7,65.0,8.0
2023-07-01 00:00:00+00:00,4,3,,
2023-07-02 00:00:00+00:00,7,4,,
2023-07-03 00:00:00+00:00,11,7,31.0,4.0
2023-07-04 00:00:00+00:00,9,6,41.0,5.0
2023-07-05 00:00:00+00:00,13,7,18.0,5.0
2023-07-06 00:00:00+00:00,13,8,42.0,5.0
2023-07-07 00:00:00+00:00,11,5,45.0,8.0
2023-07-08 00:00:00+00:00,3,2,,
2023-07-09 00:00:00+00:00,5,3,2.0,1.0
2023-07-10 00:00:00+00:00,10,5,29.0,9.0
