time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-26 00:00:00+00:00,6,6,55.0,8.0
2023-09-27 00:00:00+00:00,12,9,16.0,3.0
2023-09-28 00:00:00+00:00,2,2,8.0,2.0
2023-09-29 00:00:00+00:00,21,6,1.0,1.0
2023-09-30 00:00:00+00:00,5,3,,
2023-10-01 00:00:00+00:00,3,3,,
2023-10-02 00:00:00+00:00,13,7,2.0,1.0
2023-10-03 00:00:00+00:00,12,8,20.0,4.0
2023-10-04 00:00:00+00:00,12,8,42.0,8.0
2023-10-05 00:00:00+00:00,7,4,17.0,3.0
2023-10-06 00:00:00+00:00,12,7,66.0,7.0
2023-10-07 00:00:00+00:00,2,2,,
2023-10-08 00:00:00+00:00,2,2,56.0,1.0
2023-10-09 00:00:00+00:00,20,7,30.0,5.0
