url_path,views_total,views_unique
/yext/pages-starter-react-locations,70,28
/yext/pages-starter-react-locations/tree/main/src,31,9
/yext/pages-starter-react-locations/tree/main/src/templates,27,6
/yext/pages-starter-react-locations/blob/main/package.json,17,5
/yext/pages-starter-react-locations/tree/main/src/components,14,3
/yext/pages-starter-react-locations/tree/main/sites-config,13,2
/yext/pages-starter-react-locations/pull/63,10,2
/yext/pages-starter-react-locations/tree/main/src/types,8,2
/yext/pages-starter-react-locations/blob/main/tailwind.config.cjs,6,3
/yext/pages-starter-react-locations/blob/main/tsconfig.json,6,3
