url_path,views_total,views_unique
/yext/pages-starter-react-locations/tree/main/src,34,7
/yext/pages-starter-react-locations,30,17
/yext/pages-starter-react-locations/tree/main/src/templates,21,4
/yext/pages-starter-react-locations/tree/main/src/components,19,4
/yext/pages-starter-react-locations/tree/main/sites-config,17,5
/yext/pages-starter-react-locations/blob/main/package.json,14,4
/yext/pages-starter-react-locations/blob/main/vite.config.js,13,2
/yext/pages-starter-react-locations/tree/main/platform-config,12,4
/yext/pages-starter-react-locations/tree/main,10,4
/yext/pages-starter-react-locations/blob/main/sites-config/ci.json,8,3
