url_path,views_total,views_unique
/yext/pages-starter-react-locations,126,45
/yext/pages-starter-react-locations/tree/main/src,41,18
/yext/pages-starter-react-locations/tree/main/src/components,24,13
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,21,9
/yext/pages-starter-react-locations/tree/main/src/templates,20,11
/yext/pages-starter-react-locations/blob/main/package.json,11,3
/yext/pages-starter-react-locations/tree/main,11,3
/yext/pages-starter-react-locations/tree/main/sites-config,11,3
/yext/pages-starter-react-locations/blob/main/src/templates/404.tsx,10,2
/yext/pages-starter-react-locations/tree/main/platform-config,9,3
