url_path,views_total,views_unique
/yext/pages-starter-react-locations/tree/main/src,50,10
/yext/pages-starter-react-locations,49,24
/yext/pages-starter-react-locations/tree/main/src/templates,22,5
/yext/pages-starter-react-locations/blob/main/package.json,21,5
/yext/pages-starter-react-locations/tree/main/sites-config,13,4
/yext/pages-starter-react-locations/tree/main/src/components,11,3
/yext/pages-starter-react-locations/blob/main/sites-config/ci.json,9,4
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,8,2
/yext/pages-starter-react-locations/blob/main/src/templates/state.tsx,8,1
/yext/pages-starter-react-locations/blob/main/src/templates/static.tsx,8,1
