time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-10 00:00:00+00:00,2,2,,
2023-09-11 00:00:00+00:00,12,7,6.0,2.0
2023-09-12 00:00:00+00:00,18,10,23.0,3.0
2023-09-13 00:00:00+00:00,35,13,60.0,6.0
2023-09-14 00:00:00+00:00,9,6,7.0,1.0
2023-09-15 00:00:00+00:00,11,6,28.0,4.0
2023-09-16 00:00:00+00:00,4,3,,
2023-09-17 00:00:00+00:00,3,3,,
2023-09-18 00:00:00+00:00,18,9,143.0,4.0
2023-09-19 00:00:00+00:00,12,9,17.0,4.0
2023-09-20 00:00:00+00:00,7,6,28.0,4.0
2023-09-21 00:00:00+00:00,5,3,13.0,2.0
2023-09-22 00:00:00+00:00,5,4,,
2023-09-23 00:00:00+00:00,1,1,,
