url_path,views_total,views_unique
/yext/pages-starter-react-locations,61,33
/yext/pages-starter-react-locations/tree/main/src,33,10
/yext/pages-starter-react-locations/tree/main/src/templates,21,6
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,16,7
/yext/pages-starter-react-locations/blob/main/package.json,15,5
/yext/pages-starter-react-locations/blob/main/.env,11,4
/yext/pages-starter-react-locations/blob/main/platform-config/default/km/entity-template/cityTemplate.json,10,2
/yext/pages-starter-react-locations/tree/main/src/components,8,4
/yext/pages-starter-react-locations/blob/main/src/assets/images/tacos-1.avif,8,2
/yext/pages-starter-react-locations/tree/main,6,4
