time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-27 00:00:00+00:00,20,8,82.0,5.0
2023-07-28 00:00:00+00:00,19,10,33.0,5.0
2023-07-29 00:00:00+00:00,5,4,,
2023-07-30 00:00:00+00:00,4,3,1.0,1.0
2023-07-31 00:00:00+00:00,12,7,71.0,10.0
2023-08-01 00:00:00+00:00,12,8,73.0,3.0
2023-08-02 00:00:00+00:00,32,11,48.0,8.0
2023-08-03 00:00:00+00:00,46,17,43.0,8.0
2023-08-04 00:00:00+00:00,26,13,128.0,5.0
2023-08-05 00:00:00+00:00,8,6,66.0,2.0
2023-08-06 00:00:00+00:00,6,5,2.0,1.0
2023-08-07 00:00:00+00:00,25,12,27.0,4.0
2023-08-08 00:00:00+00:00,20,12,3.0,3.0
2023-08-09 00:00:00+00:00,20,6,20.0,2.0
