time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-02 00:00:00+00:00,12,9,24.0,5.0
2024-01-03 00:00:00+00:00,5,5,48.0,6.0
2024-01-04 00:00:00+00:00,5,5,46.0,8.0
2024-01-05 00:00:00+00:00,4,4,45.0,8.0
2024-01-06 00:00:00+00:00,4,4,,
2024-01-07 00:00:00+00:00,3,3,3.0,1.0
2024-01-08 00:00:00+00:00,8,6,77.0,14.0
2024-01-09 00:00:00+00:00,4,4,27.0,3.0
2024-01-10 00:00:00+00:00,5,5,,
2024-01-11 00:00:00+00:00,5,5,17.0,4.0
2024-01-12 00:00:00+00:00,5,5,2.0,2.0
2024-01-13 00:00:00+00:00,6,6,1.0,1.0
2024-01-14 00:00:00+00:00,3,3,7.0,2.0
2024-01-15 00:00:00+00:00,3,3,8.0,3.0
