url_path,views_total,views_unique
/yext/pages-starter-react-locations/tree/main/src,31,10
/yext/pages-starter-react-locations,25,17
/yext/pages-starter-react-locations/tree/main/src/templates,19,6
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,13,4
/yext/pages-starter-react-locations/tree/main/src/components,13,4
/yext/pages-starter-react-locations/blob/main/package.json,12,4
/yext/pages-starter-react-locations/tree/main,8,2
/yext/pages-starter-react-locations/tree/main/sites-config,8,2
/yext/pages-starter-react-locations/blob/main/src/components/DirectoryRootGrid.tsx,7,3
/yext/pages-starter-react-locations/blob/main/tailwind.config.cjs,4,2
