url_path,views_total,views_unique
/yext/pages-starter-react-locations,56,29
/yext/pages-starter-react-locations/tree/main/src,30,9
/yext/pages-starter-react-locations/blob/main/package.json,20,5
/yext/pages-starter-react-locations/tree/main/src/templates,15,5
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,10,5
/yext/pages-starter-react-locations/blob/main/platform-config/default/km/entity-template/cityTemplate.json,10,2
/yext/pages-starter-react-locations/blob/main/.env,8,3
/yext/pages-starter-react-locations/blob/main/src/components/PageLayout.tsx,8,3
/yext/pages-starter-react-locations/blob/main/src/assets/images/tacos-1.avif,8,2
/yext/pages-starter-react-locations/blob/main/src/templates/static.tsx,6,3
