time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-05 00:00:00+00:00,15,11,17.0,6.0
2023-09-06 00:00:00+00:00,17,9,21.0,4.0
2023-09-07 00:00:00+00:00,19,7,29.0,6.0
2023-09-08 00:00:00+00:00,7,5,16.0,2.0
2023-09-09 00:00:00+00:00,2,2,1.0,1.0
2023-09-10 00:00:00+00:00,2,2,,
2023-09-11 00:00:00+00:00,12,7,6.0,2.0
2023-09-12 00:00:00+00:00,18,10,23.0,3.0
2023-09-13 00:00:00+00:00,35,13,60.0,6.0
2023-09-14 00:00:00+00:00,9,6,7.0,1.0
2023-09-15 00:00:00+00:00,11,6,28.0,4.0
2023-09-16 00:00:00+00:00,4,3,,
2023-09-17 00:00:00+00:00,3,3,,
2023-09-18 00:00:00+00:00,13,6,142.0,4.0
