url_path,views_total,views_unique
/yext/pages-starter-react-locations,44,19
/yext/pages-starter-react-locations/tree/main/src/templates,17,4
/yext/pages-starter-react-locations/tree/main/src,17,3
/yext/pages-starter-react-locations/pull/63,16,3
/yext/pages-starter-react-locations/blob/main/package.json,13,5
/yext/pages-starter-react-locations/pulls,11,5
/yext/pages-starter-react-locations/pull/63/files,9,3
/yext/pages-starter-react-locations/blob/main/src/templates/location.tsx,4,2
/yext/pages-starter-react-locations/issues,4,2
/yext/pages-starter-react-locations/blob/main/sites-config/ci.json,4,1
