url_path,views_total,views_unique
/yext/pages-starter-react-locations,102,44
/yext/pages-starter-react-locations/tree/main/src,49,14
/yext/pages-starter-react-locations/blob/main/package.json,35,5
/yext/pages-starter-react-locations/tree/main/platform-config,29,4
/yext/pages-starter-react-locations/tree/main/src/components,21,8
/yext/pages-starter-react-locations/blob/main/src/templates/root.tsx,21,2
/yext/pages-starter-react-locations/tree/main/src/templates,20,6
/yext/pages-starter-react-locations/tree/main/sites-config,16,4
/yext/pages-starter-react-locations/blob/main/src/components/PageLayout.tsx,16,2
/yext/pages-starter-react-locations/tree/main/platform-config/default/km/entity,14,1
